ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE,ORIGIN_CLUSTER,DESTINATION_CLUSTER
Medellin,Doce de Octubre,11:50:00,6.302388627,-75.58118917,Medellin,San Javier,12:00:00,6.253767144,-75.62077595,Moto (Conductor),Casa,0,0
Medellin,San Javier,07:30:00,6.254502491,-75.6199589,Medellin,Castilla,08:30:00,6.310221662,-75.57003648,Moto (Conductor),Trabajo,0,0
Medellin,Castilla,16:30:00,6.2932056,-75.56611375,Medellin,San Javier,17:30:00,6.24481498,-75.63039674,Moto (Conductor),Casa,0,0
Medellin,San Javier,05:00:00,6.269392191,-75.60781141,Medellin,Corregimiento San Cristobal,06:00:00,6.262048619,-75.64856318,Moto (Acompa?±ante),Trabajo,0,-1
Medellin,Corregimiento San Cristobal,11:00:00,6.319170132,-75.63619536,Medellin,San Javier,12:00:00,6.255660255,-75.62020966,Moto (Acompa?±ante),Casa,-1,0
Medellin,San Javier,04:30:00,6.246554729,-75.63002311,Medellin,El Poblado,05:15:00,6.195419218,-75.56152615,Moto (Conductor),Trabajo,0,1
Medellin,El Poblado,17:00:00,6.218938352,-75.56847996,Medellin,San Javier,17:40:00,6.269414919,-75.60390482,Moto (Conductor),Casa,-1,0
Medellin,San Javier,08:30:00,6.249287303,-75.62290526,Medellin,La Candelaria,09:15:00,6.25243774,-75.56155067,Moto (Conductor),Diligencia,0,0
Medellin,La Candelaria,10:20:00,6.246081422,-75.57428081,Medellin,El Poblado,10:35:00,6.215806389,-75.56582483,Moto (Conductor),Diligencia,100,1
Medellin,El Poblado,11:30:00,6.180972191,-75.57442855,Medellin,San Javier,12:10:00,6.250947223,-75.63301336,Moto (Conductor),Casa,8,0
Medellin,San Javier,06:00:00,6.25641899,-75.62152659,Medellin,La America,06:10:00,6.256420941,-75.60046421,Moto (Acompa?±ante),Estudio,0,0
Medellin,La America,12:00:00,6.250030774,-75.61358538,Medellin,San Javier,12:10:00,6.246626072,-75.63168805,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,07:20:00,6.269328286,-75.61824517,Medellin,La Candelaria,08:00:00,6.247328154,-75.57005725,Moto (Conductor),Trabajo,0,202
Medellin,La Candelaria,18:00:00,6.257864696,-75.56404786,Medellin,San Javier,18:40:00,6.246332448,-75.61811026,Moto (Conductor),Casa,0,0
Medellin,San Javier,07:30:00,6.261342674,-75.6063448,Medellin,El Poblado,08:20:00,6.187819172,-75.55499609,Moto (Conductor),Trabajo,0,1
Medellin,El Poblado,14:30:00,6.205834527,-75.55052904,Medellin,San Javier,15:00:00,6.27471152,-75.60565397,Moto (Conductor),Alguien,-1,0
Medellin,San Javier,18:00:00,6.263342092,-75.60524635,Medellin,San Javier,18:10:00,6.249959891,-75.61770674,Moto (Conductor),Casa,0,0
Medellin,San Javier,07:30:00,6.268885336,-75.61405937,Medellin,El Poblado,08:50:00,6.178155753,-75.56543586,Moto (Acompa?±ante),Trabajo,0,-1
Medellin,El Poblado,14:30:00,6.196229127,-75.5790047,Medellin,San Javier,15:00:00,6.248532684,-75.61634073,Moto (Acompa?±ante),Alguien,0,0
Medellin,San Javier,18:00:00,6.253978235,-75.62769324,Medellin,San Javier,19:30:00,6.249286768,-75.62739923,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,17:15:00,6.259319952,-75.62714589,Medellin,San Javier,17:30:00,6.268636962,-75.61226687,Moto (Acompa?±ante),Casa,0,224
Medellin,San Javier,07:00:00,6.269602816,-75.61590202,Medellin,La Candelaria,08:00:00,6.247466489,-75.57279736,Moto (Conductor),Trabajo,0,202
Medellin,La Candelaria,16:00:00,6.242495205,-75.56041957,Medellin,San Javier,16:20:00,6.272806906,-75.60668099,Moto (Conductor),Casa,0,0
Medellin,San Javier,13:15:00,6.245094685,-75.62244763,Medellin,San Javier,13:30:00,6.257981238,-75.62780421,Moto (Conductor),Alguien,0,-1
Medellin,San Javier,13:35:00,6.250980431,-75.63094873,Medellin,San Javier,13:40:00,6.251363088,-75.61505129,Moto (Conductor),Casa,0,0
Medellin,San Javier,16:20:00,6.262769159,-75.60639143,Medellin,San Javier,16:30:00,6.263923703,-75.61225681,Moto (Conductor),Alguien,0,0
Medellin,San Javier,16:31:00,6.255739434,-75.627342,Medellin,San Javier,16:40:00,6.250320106,-75.63405082,Moto (Conductor),Alguien,0,0
Medellin,San Javier,16:50:00,6.252279066,-75.61717281,Medellin,San Javier,17:00:00,6.24441463,-75.62316097,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,13:15:00,6.261258096,-75.60865892,Medellin,San Javier,13:30:00,6.273561703,-75.60009562,Moto (Acompa?±ante),Estudio,0,0
Medellin,San Javier,16:20:00,6.250321445,-75.61910262,Medellin,San Javier,16:30:00,6.242482343,-75.6162546,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,07:00:00,6.255696959,-75.6266913,Medellin,Laureles-Estadio,07:30:00,6.243893427,-75.59814696,Moto (Conductor),Trabajo,0,0
Medellin,Laureles-Estadio,19:30:00,6.256133316,-75.57984155,Medellin,San Javier,20:00:00,6.26948324,-75.6056651,Moto (Conductor),Casa,0,-1
Medellin,La Candelaria,13:00:00,6.234117991,-75.57128093,Medellin,San Javier,13:30:00,6.274160621,-75.6023404,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,06:00:00,6.27082383,-75.60677053,Medellin,La America,06:20:00,6.246249605,-75.61464923,Moto (Conductor),Trabajo,0,0
Medellin,La America,18:00:00,6.257477685,-75.60555151,Medellin,San Javier,18:20:00,6.267484028,-75.61614848,Moto (Conductor),Casa,0,0
Medellin,San Javier,09:00:00,6.267655007,-75.60918658,Medellin,Belen,09:40:00,6.234899831,-75.61009802,Moto (Conductor),Trabajo,0,0
Medellin,Belen,18:20:00,6.236865309,-75.60163155,Medellin,San Javier,19:00:00,6.258688897,-75.61273378,Moto (Conductor),Casa,0,0
Medellin,San Javier,11:00:00,6.247445669,-75.62701397,Medellin,Belen,11:30:00,6.234901133,-75.59863144,Moto (Conductor),Estudio,0,0
Medellin,Belen,18:30:00,6.212189781,-75.60554801,Medellin,San Javier,19:00:00,6.24890232,-75.62981728,Moto (Conductor),Casa,0,0
Medellin,San Javier,07:30:00,6.267087139,-75.60896241,Medellin,Belen,08:15:00,6.210394204,-75.60545716,Moto (Conductor),Trabajo,0,0
Medellin,Belen,19:30:00,6.236911791,-75.61294013,Medellin,San Javier,22:00:00,6.256909592,-75.61751521,Moto (Conductor),Casa,0,0
Medellin,San Javier,05:30:00,6.241214705,-75.62131894,Medellin,El Poblado,06:00:00,6.209314506,-75.57516381,Moto (Conductor),Trabajo,0,0
Medellin,El Poblado,18:00:00,6.196659245,-75.55853205,Medellin,San Javier,19:30:00,6.247000982,-75.62727015,Moto (Conductor),Casa,1,0
Medellin,San Javier,06:30:00,6.245382862,-75.63017728,Medellin,Belen,07:00:00,6.216903433,-75.60788923,Moto (Conductor),Trabajo,0,0
Medellin,Belen,16:00:00,6.220916155,-75.59503485,Medellin,San Javier,16:30:00,6.258831163,-75.6266908,Moto (Conductor),Casa,0,-1
Medellin,San Javier,17:30:00,6.250563133,-75.61740369,Medellin,La Candelaria,18:00:00,6.263258478,-75.56889071,Moto (Conductor),Alguien,0,0
Medellin,La Candelaria,18:05:00,6.262253323,-75.56041684,Medellin,San Javier,18:35:00,6.250004573,-75.6342437,Moto (Conductor),Casa,0,0
Medellin,La Candelaria,18:00:00,6.259898365,-75.57260045,Medellin,San Javier,18:30:00,6.249442598,-75.63421679,Moto (Acompa?±ante),Casa,109,0
Medellin,Aranjuez,07:55:00,6.279305345,-75.56678358,Medellin,La Candelaria,08:00:00,6.244089262,-75.57151698,Moto (Conductor),Trabajo,0,215
Medellin,La Candelaria,17:00:00,6.252711924,-75.56516682,Medellin,Aranjuez,17:10:00,6.266400735,-75.56581443,Moto (Conductor),Alguien,101,0
Medellin,Laureles-Estadio,21:00:00,6.243268834,-75.59543836,Medellin,San Javier,21:30:00,6.262767473,-75.60868545,Moto (Conductor),Casa,0,0
Medellin,San Javier,06:00:00,6.265889605,-75.61202089,Medellin,Guayabal,06:20:00,6.222546873,-75.58466771,Moto (Acompa?±ante),Recreacion,0,0
Medellin,Guayabal,15:40:00,6.221889561,-75.58859111,Medellin,San Javier,16:00:00,6.249097491,-75.62172749,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,13:00:00,6.274208704,-75.60789656,Medellin,La Candelaria,13:30:00,6.255430126,-75.5621293,Moto (Conductor),Trabajo,0,220
Medellin,La Candelaria,21:00:00,6.252908168,-75.5775489,Medellin,San Javier,21:30:00,6.254067432,-75.63011732,Moto (Conductor),Casa,115,0
