,municipio_o,comuna_o,hora_o,municipio_d,comuna_d,hora_d,motivo_viaje,modo_tte,o_long,o_lat,d_long,d_lat
6962,Medellin,Aranjuez,10:15:00,Envigado,Zona 07,10:45:00,Salud,Moto (Acompa?帶nte),-75.56381821,6.272788145,-75.55102548,6.130616746
6963,Envigado,Zona 07,11:05:00,Medellin,Aranjuez,11:35:00,Casa,Moto (Acompa?帶nte),-75.57742474,6.130857915,-75.56307281,6.280434833
6964,Medellin,Aranjuez,06:30:00,Medellin,El Poblado,07:00:00,Trabajo,Moto (Conductor),-75.56763006,6.282872689,-75.56394905,6.178283774
6965,Medellin,El Poblado,17:00:00,Medellin,Aranjuez,17:30:00,Casa,Moto (Conductor),-75.56636876,6.200606934,-75.55559026,6.284907642
6966,Medellin,Aranjuez,07:15:00,Medellin,Aranjuez,07:25:00,Alguien,Moto (Conductor),-75.57158296,6.265328475,-75.56706141,6.267854875
6967,Medellin,Aranjuez,07:35:00,Medellin,Aranjuez,07:45:00,Alguien,Moto (Conductor),-75.55361714,6.277624674,-75.55372739,6.284663433
6968,Medellin,Aranjuez,10:00:00,Medellin,Aranjuez,10:05:00,Compras,Moto (Conductor),-75.5624473,6.266466068,-75.56330204,6.291122835
6969,Medellin,Aranjuez,10:20:00,Medellin,Aranjuez,10:30:00,Casa,Moto (Conductor),-75.56336725,6.271897092,-75.56683517,6.273971411
6970,Medellin,Aranjuez,07:15:00,Medellin,Aranjuez,07:25:00,Estudio,Moto (Acompa?帶nte),-75.55600027,6.287857457,-75.56161871,6.2911243
6971,Medellin,Aranjuez,15:30:00,Medellin,Aranjuez,15:35:00,Casa,Moto (Acompa?帶nte),-75.56080654,6.269148959,-75.56320075,6.267197906
6972,Medellin,Aranjuez,12:00:00,Medellin,La America,13:00:00,Otro,Moto (Conductor),-75.56360176,6.27820662,-75.61550865,6.252716744
6973,Medellin,La America,16:00:00,Medellin,Aranjuez,18:00:00,Casa,Moto (Conductor),-75.60529153,6.253964731,-75.55830166,6.265722129
6974,Medellin,Aranjuez,07:30:00,Medellin,Belen,08:25:00,Trabajo,Moto (Acompa?帶nte),-75.5532564,6.27916128,-75.58142585,6.236301143
6975,Medellin,Belen,20:40:00,Medellin,Aranjuez,21:40:00,Casa,Moto (Acompa?帶nte),-75.60257423,6.201772901,-75.55958871,6.283349402
6976,Medellin,Aranjuez,03:30:00,Medellin,Belen,03:50:00,Trabajo,Moto (Conductor),-75.5587824,6.27237832,-75.60097019,6.221272013
6977,Medellin,Belen,11:30:00,Medellin,Aranjuez,11:50:00,Casa,Moto (Conductor),-75.61474273,6.237391123,-75.56078319,6.265556505
6978,Medellin,Aranjuez,05:30:00,Medellin,La Candelaria,06:00:00,Trabajo,Moto (Acompa?帶nte),-75.56484153,6.272173401,-75.55865892,6.253698659
6979,Medellin,La Candelaria,15:30:00,Medellin,Aranjuez,16:30:00,Casa,Moto (Acompa?帶nte),-75.56609334,6.241734153,-75.56840959,6.274790951
6980,Medellin,Manrique,09:15:00,Medellin,Villa Hermosa,09:50:00,Trabajo,Moto (Conductor),-75.55134575,6.275245815,-75.55018725,6.249357932
