,comuna_o,municipio_o,comuna_d,municipio_d,hora_o,hora_d,modo_tte,motivo_viaje,o_long,o_lat,d_long,d_lat
597,Chapinero,Bogotá,Usaquen,Bogotá,05:00:00,05:49:48,MOTO,Trabajo,-74.03699441,4.617349059,-74.01838681,4.798465259
598,Usaquen,Bogotá,Chapinero,Bogotá,17:10:12,18:00:00,MOTO,Casa,-74.04200965,4.75496783,-74.03369394,4.62894967
599,Ciudad Bolivar,Bogotá,Candelaria,Bogotá,08:00:00,08:40:12,MOTO,Trabajo,-74.17687753,4.44786066,-74.06744901,4.596956066
600,Candelaria,Bogotá,Ciudad Bolivar,Bogotá,17:30:00,18:00:00,MOTO,Casa,-74.07356008,4.597616521,-74.14839659,4.495210548
601,Kennedy,Bogotá,Fontibon,Bogotá,05:00:00,06:00:00,MOTO,Recreacion,-74.1441356,4.629950677,-74.15367646,4.670117794
602,Fontibon,Bogotá,Kennedy,Bogotá,07:15:00,07:43:12,MOTO,Casa,-74.12150526,4.679688757,-74.17904783,4.634211305
603,Santa Fe,Bogotá,Ciudad Bolivar,Bogotá,19:25:12,21:00:00,MOTO,Casa,-74.0483247,4.61023237,-74.13435703,4.502629907
604,Chapinero,Bogotá,Chapinero,Bogotá,06:15:00,07:19:48,MOTO,Trabajo,-73.99398273,4.617975778,-74.01044096,4.619998752
605,Chapinero,Bogotá,Chapinero,Bogotá,15:15:00,16:52:48,MOTO,Casa,-74.01868678,4.640233111,-74.03278595,4.663819854
606,Chapinero,Bogotá,Chapinero,Bogotá,06:15:00,07:45:00,MOTO,Estudio,-74.05628472,4.662568833,-74.05531305,4.626484059
607,Kennedy,Bogotá,Fontibon,Bogotá,12:30:00,13:00:00,MOTO,Trabajo,-74.14779771,4.600331651,-74.14983191,4.698259506
608,Fontibon,Bogotá,Kennedy,Bogotá,21:30:00,22:15:00,MOTO,Casa,-74.10933306,4.655561413,-74.14883116,4.648778409
609,Kennedy,Bogotá,Puente Aranda,Bogotá,05:30:00,06:10:12,MOTO,Trabajo,-74.13545997,4.631299747,-74.12327626,4.613739755
610,Puente Aranda,Bogotá,Kennedy,Bogotá,14:00:00,14:40:12,MOTO,Casa,-74.1294479,4.604271135,-74.17290626,4.650962001
611,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,08:00:00,08:10:12,MOTO,Trabajo,-74.14164156,4.480483532,-74.17085615,4.437747687
612,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,17:00:00,17:10:12,MOTO,Casa,-74.14000102,4.559830787,-74.19984246,4.420839046
613,Ciudad Bolivar,Bogotá,Rafael Uribe Uribe,Bogotá,12:00:00,13:45:00,MOTO,Trabajo,-74.16585631,4.535019241,-74.11750934,4.551778254
614,Rafael Uribe Uribe,Bogotá,Ciudad Bolivar,Bogotá,21:15:00,23:00:00,MOTO,Casa,-74.12231406,4.582843972,-74.15172461,4.493089104
615,Kennedy,Bogotá,Usme,Bogotá,07:30:00,07:45:00,MOTO,Trabajo,-74.15733012,4.60859018,-74.15016674,4.313634708
616,Usme,Bogotá,Kennedy,Bogotá,21:30:00,22:00:00,MOTO,Casa,-74.08764344,4.461728317,-74.13418688,4.607505721
617,Suba,Bogotá,Candelaria,Bogotá,15:00:00,16:40:12,MOTO,Estudio,-74.11987888,4.753871515,-74.06756346,4.597652591
618,Candelaria,Bogotá,Suba,Bogotá,18:19:48,20:00:00,MOTO,Casa,-74.06770835,4.601455363,-74.08466473,4.695245976
619,Santa Fe,Bogotá,Santa Fe,Bogotá,08:00:00,09:00:00,MOTO,Trabajo,-74.07727323,4.590240767,-74.05010393,4.596754813
620,Ciudad Bolivar,Bogotá,Engativa,Bogotá,06:00:00,07:40:12,MOTO,Trabajo,-74.13513439,4.515593563,-74.12158934,4.728770147
621,Engativa,Bogotá,Ciudad Bolivar,Bogotá,16:49:48,18:30:00,MOTO,Casa,-74.12536182,4.702005698,-74.12840777,4.533704168
622,Ciudad Bolivar,Bogotá,Fontibon,Bogotá,05:00:00,05:34:48,MOTO,Trabajo,-74.16801637,4.548323252,-74.12677889,4.65538743
623,Fontibon,Bogotá,Ciudad Bolivar,Bogotá,18:00:00,20:00:00,MOTO,Casa,-74.10788466,4.653072462,-74.16149126,4.554012501
624,Usaquen,Bogotá,Usaquen,Bogotá,07:00:00,07:30:00,MOTO,Trabajo,-74.00786766,4.671463147,-74.03832445,4.72790356
625,Usaquen,Bogotá,Suba,Bogotá,17:30:00,18:00:00,MOTO,Casa,-74.02671493,4.821624613,-74.09762472,4.719634078
626,Barrios Unidos,Bogotá,Suba,Bogotá,07:00:00,08:03:00,MOTO,Trabajo,-74.08191552,4.677107566,-74.08543671,4.735181613
627,Suba,Bogotá,Suba,Bogotá,16:57:00,18:00:00,MOTO,Casa,-74.06399958,4.69913443,-74.07572137,4.733228585
628,Kennedy,Bogotá,Fontibon,Bogotá,07:10:12,08:00:00,MOTO,Trabajo,-74.15448285,4.645553102,-74.12767875,4.691738609
629,Fontibon,Bogotá,Kennedy,Bogotá,17:00:00,18:00:00,MOTO,Casa,-74.14021697,4.692026156,-74.13853346,4.626903966
630,Engativa,Bogotá,Engativa,Bogotá,17:10:12,17:34:48,MOTO,Casa,-74.09012803,4.676656951,-74.11762086,4.677689989
631,Ciudad Bolivar,Bogotá,Rafael Uribe Uribe,Bogotá,13:30:00,14:19:48,MOTO,Salud,-74.17822524,4.481463175,-74.12091394,4.553385076
632,Rafael Uribe Uribe,Bogotá,Ciudad Bolivar,Bogotá,16:49:48,17:40:12,MOTO,Casa,-74.10889086,4.586878418,-74.16144949,4.542319062
633,Kennedy,Bogotá,Kennedy,Bogotá,09:00:00,09:15:00,MOTO,Trabajo,-74.12204316,4.631504271,-74.14282262,4.611619148
634,Kennedy,Bogotá,Kennedy,Bogotá,17:00:00,18:15:00,MOTO,Casa,-74.12925799,4.620303906,-74.12563674,4.640762834
635,Ciudad Bolivar,Bogotá,Sumapaz,Bogotá,08:10:12,09:00:00,MOTO,Trabajo,-74.15296429,4.598893303,-74.13822497,4.182732195
636,Sumapaz,Bogotá,Ciudad Bolivar,Bogotá,15:15:00,16:04:48,MOTO,Casa,-74.09814088,4.117467441,-74.17162628,4.478922807
637,Kennedy,Bogotá,Los Martires,Bogotá,07:30:00,08:19:48,MOTO,Trabajo,-74.16124781,4.618024166,-74.09680807,4.607647577
638,Los Martires,Bogotá,Kennedy,Bogotá,19:39:00,20:10:12,MOTO,Casa,-74.08919858,4.601410211,-74.15496352,4.635935513
639,Kennedy,Bogotá,Los Martires,Bogotá,07:30:00,08:19:48,MOTO,Trabajo,-74.13980642,4.645608729,-74.08766198,4.613890747
