ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE
Medellin,Corregimiento Altavista,10:00:00,6.213683877,-75.63314416,Medellin,El Poblado,11:00:00,6.198070941,-75.57169667,Moto (Conductor),Trabajo
Medellin,El Poblado,18:30:00,6.186753332,-75.56685218,Envigado,Zona 04,19:00:00,6.172221098,-75.48992946,Moto (Conductor),Otro
Envigado,Zona 04,21:00:00,6.134705992,-75.57605006,Medellin,Corregimiento Altavista,22:00:00,6.215307714,-75.61528533,Moto (Conductor),Casa
Envigado,Zona 04,21:00:00,6.153492688,-75.5438255,Medellin,Corregimiento Altavista,22:00:00,6.198453882,-75.61417094,Moto (Acompa?±ante),Casa
Medellin,San Javier,07:50:00,6.263278942,-75.61168558,Medellin,Guayabal,08:00:00,6.196089375,-75.59022257,Moto (Conductor),Alguien
Medellin,Guayabal,08:10:00,6.204239709,-75.59227818,Medellin,San Javier,08:20:00,6.247407929,-75.62969108,Moto (Conductor),Casa
Medellin,San Javier,07:50:00,6.263794451,-75.61062909,Medellin,Guayabal,08:00:00,6.197142591,-75.59334909,Moto (Acompa?±ante),Alguien
Medellin,Guayabal,08:10:00,6.207304129,-75.59408652,Medellin,San Javier,08:20:00,6.273821702,-75.6031761,Moto (Acompa?±ante),Casa
Medellin,San Javier,07:50:00,6.253506214,-75.617569,Medellin,Guayabal,08:00:00,6.223615475,-75.5886743,Moto (Acompa?±ante),Otro
Medellin,San Javier,07:30:00,6.260805614,-75.60383331,Bello,Bello-Comuna 01,08:00:00,6.362734363,-75.65533922,Moto (Conductor),Trabajo
Bello,Bello-Comuna 01,13:00:00,6.371137419,-75.62517543,Medellin,San Javier,13:30:00,6.256804943,-75.62080017,Moto (Conductor),Almuerzo
Medellin,San Javier,15:00:00,6.254987561,-75.62202261,Bello,Bello-Comuna 01,15:30:00,6.360717985,-75.65688517,Moto (Conductor),Trabajo
Bello,Bello-Comuna 01,21:00:00,6.399219826,-75.58874576,Medellin,San Javier,21:30:00,6.246251538,-75.62436667,Moto (Conductor),Casa
Medellin,San Javier,05:00:00,6.247209032,-75.6286424,La Estrella,Rural La Estrella,05:45:00,6.122745366,-75.64118947,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 04,07:45:00,6.178290056,-75.61021787,Medellin,El Poblado,08:00:00,6.202108539,-75.55790551,Moto (Conductor),Trabajo
Medellin,El Poblado,17:30:00,6.179891678,-75.57041087,Itagui,Itagui-Comuna 04,18:00:00,6.192859992,-75.58272378,Moto (Conductor),Estudio
Itagui,Itagui-Comuna 04,21:30:00,6.188376514,-75.60070492,Itagui,Itagui-Comuna 04,21:45:00,6.186234598,-75.61789828,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,05:10:00,6.173781513,-75.60849841,Envigado,Zona 09,05:30:00,6.186961805,-75.50628254,Moto (Conductor),Trabajo
Envigado,Zona 09,13:30:00,6.153569368,-75.54688207,Itagui,Itagui-Comuna 04,14:00:00,6.157250921,-75.62241605,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,05:20:00,6.190343419,-75.58824181,Itagui,Itagui-Comuna 03,06:00:00,6.197791344,-75.60468516,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 03,16:15:00,6.19289526,-75.61981172,Itagui,Itagui-Comuna 04,16:40:00,6.194811194,-75.60741107,Moto (Conductor),Casa
Envigado,Zona 08,06:40:00,6.175401323,-75.53268974,Medellin,El Poblado,07:00:00,6.188328729,-75.58144543,Moto (Conductor),Estudio
Medellin,El Poblado,13:00:00,6.194524302,-75.57912556,Envigado,Zona 08,13:20:00,6.174699933,-75.50508988,Moto (Conductor),Casa
Medellin,San Javier,07:45:00,6.248925501,-75.61692073,Medellin,Laureles-Estadio,08:10:00,6.241483257,-75.58922179,Moto (Conductor),Trabajo
Medellin,Laureles-Estadio,17:50:00,6.255796243,-75.58808748,Medellin,San Javier,18:30:00,6.245523692,-75.636016,Moto (Conductor),Casa
Medellin,San Javier,20:00:00,6.25752285,-75.6297516,Medellin,La America,20:15:00,6.253860506,-75.61145161,Moto (Conductor),Diligencia
Medellin,La America,20:45:00,6.248584986,-75.61232588,Medellin,San Javier,21:00:00,6.244814509,-75.63215268,Moto (Conductor),Casa
Medellin,San Javier,07:00:00,6.259219258,-75.6081514,Bello,Bello-Comuna 09,08:30:00,6.354291868,-75.55326298,Moto (Conductor),Trabajo
Medellin,El Poblado,14:15:00,6.188487633,-75.57286534,Medellin,San Javier,15:00:00,6.259214946,-75.61499006,Moto (Acompa?±ante),Casa
